,Standard,Expected,
hr CRO,DF,23-106,33.4,5,37,11,29.7,1.11,0.33,0.14,0.45,13.0,0,0,0,4.4,4.0,0.11,+0.6,+1.0,Matches
no NOR,FW,24-292,27.6,21,99,54,54.5,3.59,1.96,0.19,0.35,12.2,1,2,3,20.8,18.4,0.19,+0.2,+0.6,Matches
pt POR,MF,FW,30-272,26.7,3,28,10,35.7,1.05,0.37,0.11,0.30,12.9,0,0,0,3.2,3.2,0.12,-0.2,-0.2,Matches
br BRA,GK,31-265,22.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
de GER,MF,34-197,22.8,0,25,5,20.0,1.10,0.22,0.00,0.00,18.3,2,0,0,2.7,2.7,0.11,-2.7,-2.7,Matches
hr CRO,MF,31-003,22.8,6,41,12,29.3,1.80,0.53,0.15,0.50,22.5,0,0,0,1.7,1.7,0.04,+4.3,+4.3,Matches
pt POR,DF,27-360,22.2,0,18,5,27.8,0.81,0.22,0.00,0.00,19.2,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
br BRA,FW,MF,21-029,19.3,1,54,21,38.9,2.80,1.09,0.02,0.05,17.7,1,0,0,4.9,4.9,0.09,-3.9,-3.9,Matches
eng ENG,DF,MF,20-169,20.2,1,10,2,20.0,0.50,0.10,0.10,0.50,15.8,0,0,0,1.4,1.4,0.14,-0.4,-0.4,Matches
ch SUI,DF,29-294,19.4,0,10,1,10.0,0.52,0.05,0.00,0.00,16.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
eng ENG,MF,FW,24-346,18.8,7,52,16,30.8,2.76,0.85,0.13,0.44,18.5,2,0,0,5.1,5.1,0.10,+1.9,+1.9,Matches
be BEL,MF,FW,33-315,17.1,4,49,14,28.6,2.87,0.82,0.08,0.29,21.7,6,0,0,3.8,3.8,0.08,+0.2,+0.2,Matches
pt POR,DF,MF,26-255,16.6,1,7,3,42.9,0.42,0.18,0.14,0.33,18.3,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches
be BEL,FW,MF,22-347,15.5,3,24,9,37.5,1.55,0.58,0.13,0.33,18.2,0,0,0,1.0,1.0,0.04,+2.0,+2.0,Matches
de GER,GK,32-184,12.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
eg EGY,FW,MF,26-091,11.1,6,38,16,42.1,3.43,1.44,0.16,0.38,18.0,5,0,0,4.8,4.8,0.13,+1.2,+1.2,Matches
eng ENG,DF,34-346,10.8,0,5,2,40.0,0.46,0.19,0.00,0.00,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
nl NED,DF,30-080,7.5,0,3,0,0.0,0.40,0.00,0.00,,10.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
es ESP,MF,23-126,7.2,0,7,0,0.0,0.97,0.00,0.00,,19.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
eng ENG,FW,MF,29-241,8.0,1,15,5,33.3,1.87,0.62,0.07,0.20,16.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
eng ENG,DF,MF,30-346,6.1,2,2,2,100.0,0.33,0.33,1.00,1.00,5.1,0,0,0,0.4,0.4,0.22,+1.6,+1.6,Matches
eng ENG,DF,20-049,5.7,2,8,3,37.5,1.40,0.53,0.25,0.67,15.4,0,0,0,1.3,1.3,0.16,+0.7,+0.7,Matches
uz UZB,DF,21-069,5.6,0,1,0,0.0,0.18,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
eng ENG,MF,FW,22-203,3.4,3,12,4,33.3,3.55,1.18,0.25,0.75,14.3,0,0,0,2.8,2.8,0.23,+0.2,+0.2,Matches
eng ENG,DF,19-186,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
es ESP,MF,28-321,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
eng ENG,FW,20-196,0.3,0,1,0,0.0,3.21,0.00,0.00,,17.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
no NOR,FW,21-301,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
br BRA,DF,19-117,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
,,27.6,35.0,66,546,195,35.7,15.60,5.57,0.12,0.33,16.9,17,2,3,61.9,59.4,0.11,+4.1,+4.6,
,,27.0,35.0,41,328,119,36.3,9.37,3.40,0.11,0.31,15.4,5,4,4,45.2,42.1,0.13,-4.2,-5.1,
